"","ANIMAL_ID","membership","Year"
"1","FO2016002",2,"2017"
"2","FO2016002",1,"2018"
"3","FO2016002",2,"2019"
"4","FO2016003",2,"2017"
"5","FO2016004",2,"2017"
"6","FO2016004",1,"2018"
"7","FO2016005",1,"2017"
"8","FO2016005",1,"2018"
"9","FO2016005",2,"2019"
"10","FO2016008",1,"2017"
"11","FO2016009",2,"2019"
"12","FO2016010",1,"2017"
"13","FO2016010",2,"2018"
"14","FO2016012",1,"2017"
"15","FO2016012",2,"2018"
"16","FO2016013",1,"2017"
"17","FO2016013",3,"2018"
"18","FO2016013",2,"2019"
"19","FO2016014",1,"2017"
"20","FO2016014",4,"2018"
"21","FO2016014",2,"2019"
"22","FO2016015",1,"2017"
"23","FO2016015",1,"2019"
"24","FO2017001",5,"2018"
"25","FO2017001",2,"2019"
"26","FO2017003",1,"2018"
"27","FO2017004",6,"2018"
"28","FO2017006",2,"2018"
"29","FO2017007",2,"2018"
"30","FO2017008",2,"2018"
"31","FO2017008",2,"2019"
"32","FO2017009",2,"2018"
"33","FO2017009",2,"2019"
"34","FO2017012",2,"2018"
"35","FO2017012",1,"2019"
"36","FO2017014",1,"2018"
"37","FO2017014",3,"2019"
"38","FO2018002",2,"2019"
